format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.1091091091091091,0.16294856109670924,,,
unrestricted,baseline,task_median,giraffes,0.11011011011011011,0.16286870916500545,,,
unrestricted,baseline,task_median,giraffes,0.1111111111111111,0.16278885723330166,,,
unrestricted,baseline,task_median,giraffes,0.11211211211211211,0.16270900530159788,,,
unrestricted,baseline,task_median,giraffes,0.11311311311311312,0.1626291533698941,,,
unrestricted,baseline,task_median,giraffes,0.11411411411411411,0.16254930143819032,,,
unrestricted,baseline,task_median,giraffes,0.11511511511511512,0.16246944950648654,,,
unrestricted,baseline,task_median,giraffes,0.11611611611611611,0.16238959757478275,,,
unrestricted,baseline,task_median,giraffes,0.11711711711711711,0.16230974564307896,,,
unrestricted,baseline,task_median,giraffes,0.11811811811811812,0.1622298937113752,,,
unrestricted,baseline,task_median,giraffes,0.11911911911911911,0.1621500417796714,,,
unrestricted,baseline,task_median,giraffes,0.12012012012012012,0.16207018984796762,,,
unrestricted,baseline,task_median,giraffes,0.12112112112112113,0.16199033791626383,,,
unrestricted,baseline,task_median,giraffes,0.12212212212212212,0.16191048598456004,,,
unrestricted,baseline,task_median,giraffes,0.12312312312312312,0.16183063405285628,,,
unrestricted,baseline,task_median,giraffes,0.12412412412412413,0.1617507821211525,,,
unrestricted,baseline,task_median,giraffes,0.12512512512512514,0.16168233760826353,,,
unrestricted,baseline,task_median,giraffes,0.12612612612612611,0.16169374502707834,,,
unrestricted,baseline,task_median,giraffes,0.12712712712712712,0.16170515244589317,,,
unrestricted,baseline,task_median,giraffes,0.12812812812812813,0.161716559864708,,,
unrestricted,baseline,task_median,giraffes,0.12912912912912913,0.16172796728352282,,,
unrestricted,baseline,task_median,giraffes,0.13013013013013014,0.16173937470233765,,,
unrestricted,baseline,task_median,giraffes,0.13113113113113112,0.1617507821211525,,,
unrestricted,baseline,task_median,giraffes,0.13213213213213212,0.16176218953996732,,,
unrestricted,baseline,task_median,giraffes,0.13313313313313313,0.16177359695878213,,,
unrestricted,baseline,task_median,giraffes,0.13413413413413414,0.16178500437759696,,,
unrestricted,baseline,task_median,giraffes,0.13513513513513514,0.1617964117964118,,,
unrestricted,baseline,task_median,giraffes,0.13613613613613612,0.1618078192152266,,,
unrestricted,baseline,task_median,giraffes,0.13713713713713713,0.16181922663404144,,,
unrestricted,baseline,task_median,giraffes,0.13813813813813813,0.16183063405285628,,,
unrestricted,baseline,task_median,giraffes,0.13913913913913914,0.16184204147167108,,,
unrestricted,baseline,task_median,giraffes,0.14014014014014015,0.16185344889048592,,,
unrestricted,baseline,task_median,giraffes,0.14114114114114115,0.16186485630930075,,,
unrestricted,baseline,task_median,giraffes,0.14214214214214213,0.16187626372811556,,,
unrestricted,baseline,task_median,giraffes,0.14314314314314314,0.1618876711469304,,,
unrestricted,baseline,task_median,giraffes,0.14414414414414414,0.16189907856574523,,,
unrestricted,baseline,task_median,giraffes,0.14514514514514515,0.16191048598456007,,,
unrestricted,baseline,task_median,giraffes,0.14614614614614616,0.16192189340337487,,,
unrestricted,baseline,task_median,giraffes,0.14714714714714713,0.1619333008221897,,,
unrestricted,baseline,task_median,giraffes,0.14814814814814814,0.16194470824100454,,,
unrestricted,baseline,task_median,giraffes,0.14914914914914915,0.16195611565981935,,,
unrestricted,baseline,task_median,giraffes,0.15015015015015015,0.16196752307863418,,,
unrestricted,baseline,task_median,giraffes,0.15115115115115116,0.16197893049744902,,,
unrestricted,baseline,task_median,giraffes,0.15215215215215216,0.16199033791626383,,,
unrestricted,baseline,task_median,giraffes,0.15315315315315314,0.16200174533507866,,,
unrestricted,baseline,task_median,giraffes,0.15415415415415415,0.1620131527538935,,,
unrestricted,baseline,task_median,giraffes,0.15515515515515516,0.16202456017270833,,,
unrestricted,baseline,task_median,giraffes,0.15615615615615616,0.16203596759152314,,,
unrestricted,baseline,task_median,giraffes,0.15715715715715717,0.16204737501033797,,,
unrestricted,baseline,task_median,giraffes,0.15815815815815815,0.1620587824291528,,,
unrestricted,baseline,task_median,giraffes,0.15915915915915915,0.16207018984796762,,,
unrestricted,baseline,task_median,giraffes,0.16016016016016016,0.16208159726678245,,,
unrestricted,baseline,task_median,giraffes,0.16116116116116116,0.1620930046855973,,,
unrestricted,baseline,task_median,giraffes,0.16216216216216217,0.1621044121044121,,,
unrestricted,baseline,task_median,giraffes,0.16316316316316315,0.16211581952322693,,,
unrestricted,baseline,task_median,giraffes,0.16416416416416416,0.16212722694204176,,,
unrestricted,baseline,task_median,giraffes,0.16516516516516516,0.16213863436085657,,,
unrestricted,baseline,task_median,giraffes,0.16616616616616617,0.1621500417796714,,,
unrestricted,baseline,task_median,giraffes,0.16716716716716717,0.16216144919848624,,,
unrestricted,baseline,task_median,giraffes,0.16816816816816815,0.16217285661730108,,,
unrestricted,baseline,task_median,giraffes,0.16916916916916916,0.16218426403611588,,,
unrestricted,baseline,task_median,giraffes,0.17017017017017017,0.16219567145493072,,,
unrestricted,baseline,task_median,giraffes,0.17117117117117117,0.16220707887374555,,,
unrestricted,baseline,task_median,giraffes,0.17217217217217218,0.16221848629256036,,,
unrestricted,baseline,task_median,giraffes,0.17317317317317318,0.1622298937113752,,,
unrestricted,baseline,task_median,giraffes,0.17417417417417416,0.16224130113019003,,,
unrestricted,baseline,task_median,giraffes,0.17517517517517517,0.16225270854900484,,,
unrestricted,baseline,task_median,giraffes,0.17617617617617617,0.16226411596781967,,,
unrestricted,baseline,task_median,giraffes,0.17717717717717718,0.1622755233866345,,,
unrestricted,baseline,task_median,giraffes,0.1781781781781782,0.16228693080544931,,,
unrestricted,baseline,task_median,giraffes,0.17917917917917917,0.16229833822426415,,,
unrestricted,baseline,task_median,giraffes,0.18018018018018017,0.16230974564307898,,,
unrestricted,baseline,task_median,giraffes,0.18118118118118118,0.16232115306189382,,,
unrestricted,baseline,task_median,giraffes,0.18218218218218218,0.16233256048070863,,,
unrestricted,baseline,task_median,giraffes,0.1831831831831832,0.16234396789952346,,,
unrestricted,baseline,task_median,giraffes,0.1841841841841842,0.1623553753183383,,,
unrestricted,baseline,task_median,giraffes,0.18518518518518517,0.1623667827371531,,,
unrestricted,baseline,task_median,giraffes,0.18618618618618618,0.16237819015596794,,,
unrestricted,baseline,task_median,giraffes,0.1871871871871872,0.16238959757478277,,,
unrestricted,baseline,task_median,giraffes,0.1881881881881882,0.16244021799577354,,,
unrestricted,baseline,task_median,giraffes,0.1891891891891892,0.16250866250866253,,,
unrestricted,baseline,task_median,giraffes,0.19019019019019018,0.16257710702155148,,,
unrestricted,baseline,task_median,giraffes,0.19119119119119118,0.16264555153444044,,,
unrestricted,baseline,task_median,giraffes,0.1921921921921922,0.1627139960473294,,,
unrestricted,baseline,task_median,giraffes,0.1931931931931932,0.16278244056021834,,,
unrestricted,baseline,task_median,giraffes,0.1941941941941942,0.1628508850731073,,,
unrestricted,baseline,task_median,giraffes,0.19519519519519518,0.16291932958599625,,,
unrestricted,baseline,task_median,giraffes,0.1961961961961962,0.1629877740988852,,,
unrestricted,baseline,task_median,giraffes,0.1971971971971972,0.16305621861177416,,,
unrestricted,baseline,task_median,giraffes,0.1981981981981982,0.16312466312466312,,,
unrestricted,baseline,task_median,giraffes,0.1991991991991992,0.1631931076375521,,,
unrestricted,baseline,task_median,giraffes,0.20020020020020018,0.16326155215044105,,,
unrestricted,baseline,task_median,giraffes,0.2012012012012012,0.16332999666333,,,
unrestricted,baseline,task_median,giraffes,0.2022022022022022,0.16339844117621896,,,
unrestricted,baseline,task_median,giraffes,0.2032032032032032,0.16346688568910792,,,
unrestricted,baseline,task_median,giraffes,0.2042042042042042,0.16353533020199687,,,
unrestricted,baseline,task_median,giraffes,0.20520520520520522,0.16360377471488582,,,
unrestricted,baseline,task_median,giraffes,0.2062062062062062,0.16367221922777478,,,
unrestricted,baseline,task_median,giraffes,0.2072072072072072,0.16374066374066373,,,
unrestricted,baseline,task_median,giraffes,0.2082082082082082,0.1638091082535527,,,
unrestricted,baseline,task_median,giraffes,0.2092092092092092,0.16387755276644167,,,
unrestricted,baseline,task_median,giraffes,0.21021021021021022,0.16394599727933062,,,
unrestricted,baseline,task_median,giraffes,0.2112112112112112,0.16401444179221958,,,
unrestricted,baseline,task_median,giraffes,0.2122122122122122,0.16408288630510853,,,
unrestricted,baseline,task_median,giraffes,0.2132132132132132,0.1641513308179975,,,
unrestricted,baseline,task_median,giraffes,0.21421421421421422,0.16421977533088644,,,
unrestricted,baseline,task_median,giraffes,0.21521521521521522,0.1642882198437754,,,
unrestricted,baseline,task_median,giraffes,0.21621621621621623,0.16435666435666435,,,
unrestricted,baseline,task_median,giraffes,0.2172172172172172,0.1644251088695533,,,
unrestricted,baseline,task_median,giraffes,0.2182182182182182,0.16449355338244226,,,
unrestricted,baseline,task_median,giraffes,0.21921921921921922,0.1645619978953312,,,
unrestricted,baseline,task_median,giraffes,0.22022022022022023,0.1646304424082202,,,
unrestricted,baseline,task_median,giraffes,0.22122122122122123,0.16469888692110915,,,
unrestricted,baseline,task_median,giraffes,0.2222222222222222,0.1647673314339981,,,
unrestricted,baseline,task_median,giraffes,0.22322322322322322,0.16483577594688706,,,
unrestricted,baseline,task_median,giraffes,0.22422422422422422,0.164904220459776,,,
unrestricted,baseline,task_median,giraffes,0.22522522522522523,0.16497266497266497,,,
unrestricted,baseline,task_median,giraffes,0.22622622622622623,0.16504110948555392,,,
unrestricted,baseline,task_median,giraffes,0.2272272272272272,0.16510955399844288,,,
