format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.15115115115115116,-0.014765499010938479,,,
unrestricted,baseline,task_median,giraffes,0.15215215215215216,-0.01473740611385719,,,
unrestricted,baseline,task_median,giraffes,0.15315315315315314,-0.014709313216775903,,,
unrestricted,baseline,task_median,giraffes,0.15415415415415415,-0.014681220319694615,,,
unrestricted,baseline,task_median,giraffes,0.15515515515515516,-0.014653127422613326,,,
unrestricted,baseline,task_median,giraffes,0.15615615615615616,-0.014625034525532038,,,
unrestricted,baseline,task_median,giraffes,0.15715715715715717,-0.01459694162845075,,,
unrestricted,baseline,task_median,giraffes,0.15815815815815815,-0.014568848731369462,,,
unrestricted,baseline,task_median,giraffes,0.15915915915915915,-0.014540755834288174,,,
unrestricted,baseline,task_median,giraffes,0.16016016016016016,-0.014512662937206886,,,
unrestricted,baseline,task_median,giraffes,0.16116116116116116,-0.014484570040125594,,,
unrestricted,baseline,task_median,giraffes,0.16216216216216217,-0.014456477143044306,,,
unrestricted,baseline,task_median,giraffes,0.16316316316316315,-0.014428384245963018,,,
unrestricted,baseline,task_median,giraffes,0.16416416416416416,-0.01440029134888173,,,
unrestricted,baseline,task_median,giraffes,0.16516516516516516,-0.014372198451800442,,,
unrestricted,baseline,task_median,giraffes,0.16616616616616617,-0.014344105554719154,,,
unrestricted,baseline,task_median,giraffes,0.16716716716716717,-0.014316012657637866,,,
unrestricted,baseline,task_median,giraffes,0.16816816816816815,-0.014287919760556577,,,
unrestricted,baseline,task_median,giraffes,0.16916916916916916,-0.01425982686347529,,,
unrestricted,baseline,task_median,giraffes,0.17017017017017017,-0.014231733966393998,,,
unrestricted,baseline,task_median,giraffes,0.17117117117117117,-0.01420364106931271,,,
unrestricted,baseline,task_median,giraffes,0.17217217217217218,-0.014175548172231421,,,
unrestricted,baseline,task_median,giraffes,0.17317317317317318,-0.014147455275150133,,,
unrestricted,baseline,task_median,giraffes,0.17417417417417416,-0.014119362378068847,,,
unrestricted,baseline,task_median,giraffes,0.17517517517517517,-0.014091269480987559,,,
unrestricted,baseline,task_median,giraffes,0.17617617617617617,-0.01406317658390627,,,
unrestricted,baseline,task_median,giraffes,0.17717717717717718,-0.014035083686824983,,,
unrestricted,baseline,task_median,giraffes,0.1781781781781782,-0.014006990789743694,,,
unrestricted,baseline,task_median,giraffes,0.17917917917917917,-0.013978897892662406,,,
unrestricted,baseline,task_median,giraffes,0.18018018018018017,-0.013950804995581115,,,
unrestricted,baseline,task_median,giraffes,0.18118118118118118,-0.013922712098499827,,,
unrestricted,baseline,task_median,giraffes,0.18218218218218218,-0.013894619201418539,,,
unrestricted,baseline,task_median,giraffes,0.1831831831831832,-0.01386652630433725,,,
unrestricted,baseline,task_median,giraffes,0.1841841841841842,-0.013838433407255962,,,
unrestricted,baseline,task_median,giraffes,0.18518518518518517,-0.013810340510174674,,,
unrestricted,baseline,task_median,giraffes,0.18618618618618618,-0.013782247613093386,,,
unrestricted,baseline,task_median,giraffes,0.1871871871871872,-0.013754154716012098,,,
